total_commits,total_prs,merged_prs,total_issues_opened,total_issues_closed,review_comments,active_weeks,repos_contributed,total_stars,total_forks,avg_pr_lines_changed,avg_issue_response_hours,commit_trend_score,language_count,impact_score
680,84,79,80,15,184,19,32,6,1,241.4,49.7,0.2,6,61.29
693,191,44,145,77,103,35,0,6,0,471.5,101.9,0.5,14,54.91
452,113,86,54,32,121,50,10,10,1,398.3,104.0,0.2,7,62.44
203,37,1,11,3,121,39,4,7,2,345.4,120.7,0.5,15,42.3
409,62,9,1,0,199,27,14,5,1,310.8,8.4,0.2,3,44.94
683,135,81,113,78,184,32,27,16,3,538.3,124.9,0.5,14,68.25
265,192,63,70,66,124,40,15,6,0,171.4,45.6,0.5,2,61.48
710,39,13,16,13,104,21,34,7,0,499.7,65.4,1.0,0,60.46
783,147,97,122,0,90,19,24,17,6,251.4,125.6,1.0,7,63.1
497,7,6,86,85,173,51,25,11,3,551.7,164.8,1.0,0,72.81
403,151,144,6,0,164,27,8,19,2,156.1,55.0,0.5,10,61.65
284,192,107,64,10,120,1,34,5,1,134.5,11.5,1.0,1,57.0
772,7,3,51,1,159,9,15,5,1,338.4,36.6,1.0,8,56.66
621,191,183,29,24,41,19,6,8,3,345.5,152.5,0.5,12,56.69
732,50,4,62,6,178,49,19,17,4,72.6,165.3,0.2,11,56.12
70,129,87,3,3,125,6,27,43,11,497.2,118.8,0.5,5,50.85
751,133,69,137,123,119,27,37,6,2,498.4,14.6,0.5,7,66.91
684,97,43,7,7,83,11,31,5,1,204.2,147.9,1.0,8,63.42
569,2,2,48,5,61,46,26,7,2,414.4,108.5,0.5,14,65.98
226,103,88,62,19,169,37,23,7,1,255.3,125.3,0.5,11,62.22
719,116,34,78,32,59,7,12,6,1,570.5,115.9,0.2,6,42.78
603,194,134,72,12,49,18,14,6,0,424.8,21.3,0.2,1,45.64
566,74,16,125,13,3,36,18,7,1,110.6,8.6,0.5,3,51.38
75,147,13,38,9,144,19,5,150,13,458.7,101.9,1.0,7,39.1
794,133,97,115,56,76,37,27,6,1,365.8,124.3,0.2,6,61.44
245,44,35,19,5,0,26,28,10,2,19.6,48.4,0.5,14,50.05
72,175,59,67,25,108,7,34,5,0,159.4,23.9,0.2,5,45.37
582,73,56,31,29,176,19,25,33,7,296.3,13.5,0.2,13,71.85
752,82,77,64,3,23,14,36,9,0,458.9,138.0,1.0,1,49.66
531,166,113,71,23,149,27,40,15,5,282.0,68.6,0.5,3,65.04
164,84,52,126,36,169,25,35,5,0,151.4,19.5,0.5,0,51.21
423,13,3,132,92,159,48,31,9,2,122.1,92.3,0.5,14,65.68
715,124,15,7,3,181,10,19,8,1,55.9,166.7,0.2,14,54.77
157,127,74,130,69,106,30,30,6,1,230.2,154.9,1.0,4,56.28
71,70,53,87,64,68,52,0,6,0,352.2,167.8,0.5,4,41.87
340,141,139,96,58,82,12,15,8,1,465.3,7.3,1.0,15,63.14
722,97,49,38,31,9,8,32,47,7,60.2,142.0,0.2,14,55.84
670,39,4,120,100,67,21,39,10,2,511.1,143.2,1.0,12,57.59
324,160,124,138,9,158,4,15,9,3,598.5,125.5,0.5,3,46.45
102,113,21,76,3,11,20,3,6,1,87.3,89.2,1.0,5,24.79
174,44,5,97,79,174,15,31,25,2,276.7,42.7,0.5,0,52.74
294,173,139,40,4,113,22,37,6,2,414.2,76.7,0.5,6,52.59
393,123,13,60,24,146,22,36,6,1,13.2,139.4,0.5,8,55.4
796,190,12,127,73,198,51,14,9,1,382.0,104.3,1.0,4,61.22
643,24,20,10,4,112,2,37,6,0,545.8,54.9,0.5,5,58.87
374,135,128,69,21,65,52,30,48,7,522.2,135.1,0.5,2,67.46
144,193,57,101,71,93,5,25,5,1,272.9,113.0,1.0,8,46.08
380,27,21,59,30,6,39,35,6,1,388.6,106.7,0.5,9,52.52
664,104,14,35,2,9,19,31,5,0,322.5,65.3,0.5,13,42.5
424,167,25,125,78,104,17,2,10,1,266.8,39.7,0.5,3,48.45
702,94,69,91,7,101,17,12,49,18,494.5,15.4,0.2,0,59.05
128,144,52,17,17,53,37,13,15,1,464.6,132.5,1.0,0,46.29
283,37,8,138,64,44,7,1,5,0,473.1,98.9,0.2,5,28.95
431,134,29,16,15,114,49,23,8,0,302.3,158.8,0.2,9,65.65
469,164,7,15,15,102,27,6,7,2,44.1,13.6,1.0,4,60.05
648,149,140,83,48,152,33,18,7,1,59.5,117.9,1.0,6,71.52
440,115,113,58,26,86,52,29,7,2,187.5,52.5,0.5,11,82.19
485,17,2,21,2,110,6,23,15,3,351.9,94.3,0.5,3,47.96
420,90,85,108,92,13,18,38,6,0,304.4,26.0,0.5,7,61.61
569,94,14,71,28,109,35,39,9,2,15.8,156.1,1.0,8,58.18
29,46,17,79,43,89,0,11,19,4,240.5,23.8,1.0,0,46.01
385,107,58,87,20,94,19,20,13,3,51.0,8.8,0.2,1,56.28
690,20,8,113,84,108,31,38,7,1,453.0,19.1,0.5,3,61.98
498,134,78,11,3,101,38,3,5,0,126.7,23.1,0.5,9,65.81
335,30,0,127,110,44,8,24,8,1,335.2,112.2,0.5,2,38.95
446,4,3,19,10,147,27,36,7,1,173.7,68.0,0.5,5,70.78
632,117,106,92,11,111,6,15,7,1,47.2,146.2,1.0,10,60.71
78,130,29,135,130,49,49,22,6,2,387.3,24.8,0.2,4,52.6
262,50,11,39,4,45,49,40,7,2,455.9,75.4,1.0,10,54.06
154,112,8,120,56,161,19,17,9,1,44.5,77.6,0.2,1,37.21
377,73,9,23,19,152,32,24,7,1,475.1,150.5,0.5,6,53.0
154,15,14,26,25,87,45,5,7,0,148.6,73.5,0.5,5,62.85
372,95,36,99,52,198,21,38,5,1,200.8,55.4,1.0,12,65.28
672,154,38,85,10,149,42,9,26,4,393.6,111.2,0.2,2,56.01
317,143,96,84,16,171,44,33,5,1,305.1,3.1,0.5,5,65.71
784,124,24,57,8,39,4,18,17,1,462.5,140.3,1.0,1,40.57
677,86,79,33,24,39,10,11,16,5,485.4,27.8,0.5,1,52.03
243,113,78,72,57,59,34,15,6,1,281.4,140.3,0.5,14,59.38
472,196,72,97,64,135,26,10,15,4,83.0,42.0,1.0,15,68.05
105,182,132,31,18,21,48,10,6,2,88.4,73.5,0.2,14,47.02
357,6,3,13,6,128,23,15,6,0,134.7,53.5,0.2,10,58.69
293,120,89,35,30,114,39,0,24,1,129.4,25.1,1.0,13,65.91
113,198,73,60,19,31,3,15,7,2,274.3,18.6,0.5,0,33.14
735,36,18,109,0,157,22,15,8,0,400.9,87.9,0.5,2,48.38
538,139,129,129,5,99,30,2,9,3,152.2,2.7,0.2,11,64.99
106,197,148,85,17,11,22,34,6,1,498.2,115.0,1.0,15,46.46
646,46,8,16,14,9,18,12,5,0,25.1,156.8,1.0,12,50.58
259,9,3,73,45,199,3,21,6,1,262.2,67.2,0.5,12,53.76
347,47,31,127,94,132,17,5,11,0,361.5,138.2,1.0,9,54.66
676,75,39,114,77,183,27,10,10,1,25.4,146.2,0.5,13,60.67
281,163,14,19,12,93,32,10,38,3,364.5,131.3,0.2,4,50.71
375,92,49,145,8,154,9,28,36,6,457.9,96.4,1.0,11,58.83
407,80,35,63,14,6,47,11,7,1,337.0,44.0,0.5,14,52.67
710,125,25,31,8,18,28,11,23,4,52.7,114.6,0.5,11,52.25
726,16,9,76,20,182,45,40,5,0,134.5,165.5,0.2,7,63.97
567,146,94,119,102,141,8,39,21,1,238.9,120.4,0.5,13,68.15
787,104,73,18,4,81,41,4,7,2,206.7,147.5,1.0,5,63.25
514,14,13,31,9,77,10,10,6,1,207.6,158.1,0.5,2,54.95
256,50,40,141,70,32,40,19,9,0,384.6,99.4,1.0,4,55.49
619,86,72,10,0,20,2,36,6,0,343.3,103.8,0.2,15,50.99
642,139,74,77,61,62,51,25,6,0,35.9,73.9,0.5,14,68.73
320,183,81,88,51,33,48,23,8,0,145.0,20.6,0.5,7,63.49
144,24,1,74,49,157,26,15,44,16,488.1,156.9,1.0,10,50.96
527,119,63,78,63,5,5,25,7,2,129.1,59.3,0.2,9,55.96
506,152,120,73,68,2,6,27,5,0,219.5,67.7,0.2,12,62.17
371,141,73,18,12,129,28,35,6,2,408.2,20.0,0.2,12,62.25
382,86,71,93,18,50,38,32,7,0,23.3,119.9,0.5,14,60.24
143,83,78,81,20,100,39,19,9,2,305.8,82.3,1.0,9,67.9
486,4,2,84,14,106,37,19,14,4,412.8,4.5,0.5,8,68.92
794,148,147,58,46,13,37,30,5,1,371.8,141.3,0.2,7,59.54
32,146,28,48,1,112,20,26,5,1,246.2,130.2,0.5,1,37.78
574,83,61,134,96,80,11,29,25,4,212.6,129.7,1.0,8,67.82
624,123,24,63,35,142,19,14,33,12,462.7,118.4,1.0,15,59.62
738,70,36,31,24,101,52,22,39,12,174.3,48.3,1.0,2,82.67
354,113,83,65,61,54,12,34,6,1,163.0,18.4,1.0,7,65.2
543,57,40,59,3,25,26,21,11,0,462.5,0.9,1.0,5,59.72
416,167,121,122,83,51,48,18,6,1,544.8,15.0,1.0,7,62.39
38,44,26,45,2,101,50,31,5,1,523.4,48.6,0.2,0,44.86
305,145,27,85,36,116,41,34,8,2,80.5,84.7,0.5,6,57.86
748,117,82,65,23,3,47,21,14,3,454.4,29.5,1.0,12,62.41
437,131,83,22,12,171,6,11,71,15,561.5,1.1,0.5,7,58.47
337,77,74,146,2,66,41,23,10,0,70.9,51.5,0.5,9,62.5
706,30,20,75,47,157,14,14,40,8,273.0,166.1,0.5,13,64.36
775,137,55,63,10,134,28,33,11,0,338.5,10.4,1.0,6,58.32
586,137,38,42,20,133,28,7,10,3,293.3,151.0,0.5,1,50.36
467,144,14,143,118,172,51,19,11,2,489.9,125.3,1.0,2,63.67
46,108,44,16,1,17,30,2,6,0,81.3,107.8,1.0,13,29.62
459,96,48,20,17,34,41,22,5,1,235.8,21.4,0.2,0,65.34
774,5,2,118,86,184,34,27,8,2,148.5,58.2,0.5,6,73.17
115,8,6,4,1,52,4,6,9,1,403.2,146.5,0.2,1,27.29
411,112,29,138,55,193,49,3,5,1,140.5,154.0,1.0,10,55.72
328,60,19,36,33,56,26,19,6,1,355.0,123.5,0.2,13,50.32
569,126,6,88,82,171,24,33,6,1,89.5,63.2,1.0,15,66.17
724,36,29,14,8,105,26,35,8,1,153.0,55.5,0.2,14,73.3
379,23,17,48,3,68,24,38,9,3,112.9,128.0,1.0,6,53.68
340,77,1,54,12,189,7,30,25,7,422.3,66.6,0.2,10,47.86
794,72,48,119,68,166,22,19,6,1,298.4,16.6,1.0,15,71.73
208,94,40,105,5,144,14,9,5,1,350.4,121.0,0.5,4,37.06
200,84,29,97,72,62,31,35,10,2,154.4,138.0,1.0,15,54.07
360,43,8,139,125,47,34,3,8,2,44.6,137.4,0.2,0,42.45
422,35,14,17,4,2,13,32,7,0,382.6,156.9,0.5,15,44.72
421,3,0,135,70,137,18,1,7,2,258.3,157.9,0.2,3,43.26
98,134,38,61,12,158,33,16,15,2,238.1,62.7,0.5,14,46.01
231,76,10,8,1,103,24,24,8,0,5.7,28.8,0.5,13,44.7
660,200,84,144,24,135,2,14,5,1,532.5,79.9,0.2,2,44.3
556,144,8,45,20,4,13,37,5,1,492.5,156.1,0.5,5,37.17
577,61,36,99,86,138,21,24,12,1,593.1,121.7,1.0,11,69.84
77,87,77,101,99,83,1,40,6,2,294.4,59.8,0.5,13,56.3
190,174,149,97,10,197,39,18,14,4,49.2,25.9,1.0,4,61.04
109,23,0,78,56,92,48,17,5,0,258.6,93.6,1.0,13,53.38
105,6,0,90,70,23,38,38,13,4,7.4,69.5,0.2,7,39.9
389,43,8,68,38,68,31,9,5,1,252.7,81.4,0.2,11,52.05
257,63,63,50,29,27,8,19,5,0,505.0,63.8,0.5,14,47.07
666,152,34,76,41,154,44,12,7,0,238.9,53.6,1.0,15,72.63
589,200,62,83,48,71,52,25,6,2,119.9,167.5,0.2,0,62.01
725,53,28,74,8,104,43,31,5,0,151.6,25.9,0.5,12,68.66
75,114,76,122,74,102,34,32,27,9,251.0,6.2,0.5,2,62.72
680,90,21,11,9,165,43,25,48,7,477.7,17.8,0.2,8,70.2
227,130,56,114,47,100,29,37,10,1,598.6,81.1,0.5,13,54.82
747,36,22,79,43,116,50,13,8,1,58.6,121.3,0.5,10,67.44
68,76,5,29,0,87,41,6,10,1,590.3,41.0,0.2,5,33.22
473,59,51,103,80,47,11,40,10,1,442.4,148.4,0.5,13,60.24
398,1,0,52,17,192,45,4,8,2,322.1,61.5,0.2,14,55.27
501,135,80,99,78,100,37,7,6,2,370.4,136.7,1.0,9,67.36
629,151,21,34,20,30,15,19,5,0,84.8,65.3,1.0,4,48.43
498,162,137,44,35,42,31,18,5,0,270.6,9.0,0.5,0,62.89
496,34,12,98,71,129,41,31,7,1,426.1,74.6,0.2,2,56.49
225,74,4,70,28,137,18,10,13,3,463.5,83.2,1.0,3,40.89
586,29,8,139,93,138,52,2,12,2,131.1,71.4,1.0,7,64.1
460,67,44,22,14,30,49,15,5,1,413.5,144.7,1.0,13,69.95
169,157,35,52,52,52,51,3,8,1,358.1,28.3,1.0,9,52.13
526,173,24,34,26,15,17,8,11,1,87.7,54.1,0.2,12,49.73
501,36,36,68,53,96,28,4,9,3,55.9,86.6,0.5,11,64.46
595,0,0,23,23,117,40,22,17,5,238.6,162.6,0.2,15,68.51
274,82,36,86,70,147,8,36,17,5,536.5,128.1,0.2,3,45.85
16,31,10,112,58,0,27,12,188,69,529.3,50.7,0.5,2,34.47
670,92,32,21,11,170,41,10,5,1,435.6,126.9,0.5,2,54.57
488,19,4,57,33,174,28,0,5,0,72.4,144.5,1.0,4,50.69
489,18,7,98,11,187,51,6,5,0,179.6,64.3,0.2,4,62.01
624,166,42,112,44,184,13,40,12,4,369.6,74.3,0.2,2,54.42
102,35,7,150,98,89,27,20,14,1,386.8,41.7,1.0,9,52.47
674,77,26,132,130,48,47,25,6,0,538.7,160.4,0.5,12,57.04
115,61,31,18,16,3,23,20,5,1,341.0,61.4,1.0,5,46.56
788,18,0,150,17,3,16,13,5,0,473.6,85.1,1.0,13,33.68
433,179,102,21,20,137,34,39,5,0,47.4,154.7,0.2,10,60.91
665,174,164,16,9,178,27,15,5,0,260.7,76.2,1.0,1,70.7
316,170,168,44,7,3,45,8,11,1,571.8,87.9,1.0,8,52.48
799,68,15,7,5,109,17,33,5,1,346.0,12.9,0.5,11,63.48
56,127,42,94,20,65,49,6,22,6,69.2,124.5,0.2,1,39.17
47,120,46,98,19,45,2,35,14,4,393.4,37.7,0.2,13,35.56
737,81,34,19,18,95,7,32,10,0,133.9,86.7,0.2,12,65.46
289,198,79,83,11,141,29,0,6,0,470.7,124.2,0.2,14,42.19
377,151,126,50,46,139,48,15,5,1,14.3,91.0,1.0,0,66.74
673,96,94,78,13,52,33,15,7,2,583.5,23.9,0.5,2,58.51
44,59,57,133,105,179,23,29,57,4,57.3,22.4,0.5,2,58.59
678,33,15,74,33,80,51,25,11,3,190.8,45.7,0.2,6,70.32
139,199,197,149,27,39,6,10,7,1,72.4,60.2,0.2,14,41.25
122,23,5,77,77,10,13,20,5,1,581.0,66.6,0.2,9,39.67
266,44,1,103,57,142,47,35,6,1,482.3,23.5,0.2,1,54.02
133,50,25,95,87,161,41,5,8,1,487.6,3.7,0.2,6,45.02
661,113,103,32,5,84,7,2,33,2,554.5,72.8,1.0,12,54.11
436,44,22,54,11,70,17,28,20,1,371.5,41.3,0.5,15,56.63
421,140,122,15,2,71,24,8,7,1,478.3,41.9,1.0,0,56.53
367,122,69,124,44,144,32,20,6,0,191.3,36.8,0.5,1,61.83
483,135,91,149,59,40,6,15,10,1,489.8,154.1,0.2,7,39.55
397,90,22,45,15,151,20,22,25,1,420.3,159.2,1.0,4,49.07
576,48,31,138,79,44,31,2,5,0,131.3,88.4,0.2,10,56.41
133,87,22,82,7,5,9,37,11,1,66.6,88.4,0.5,2,29.61
382,180,169,101,75,25,21,19,6,2,439.4,73.4,1.0,15,59.21
575,177,157,91,28,170,37,11,6,1,176.7,29.9,0.2,12,69.35
789,145,8,46,38,81,51,39,5,1,562.0,23.6,1.0,2,64.03
171,162,22,85,57,2,16,13,6,0,154.0,18.1,0.2,1,42.16
395,112,93,107,21,105,31,24,6,1,497.3,132.5,1.0,7,61.86
34,75,2,81,33,26,4,21,5,0,439.2,91.9,0.2,10,27.53
608,157,123,7,6,167,10,38,21,2,60.8,34.5,0.2,13,67.53
747,138,67,72,38,60,6,3,6,1,294.6,9.2,0.2,13,47.52
89,75,61,51,6,6,13,10,9,3,284.1,19.4,0.5,15,37.75
93,164,139,99,23,94,24,23,5,0,263.8,44.3,0.5,1,51.76
154,192,178,24,2,171,22,34,7,2,136.5,10.2,0.5,13,64.05
486,146,60,121,38,20,25,2,7,2,480.3,113.8,1.0,4,42.26
123,193,114,44,10,54,51,12,5,0,593.0,73.1,1.0,4,47.67
744,17,2,99,71,101,35,20,18,4,550.3,2.1,1.0,13,67.03
115,106,19,37,36,150,37,6,28,6,60.6,48.1,1.0,11,57.86
670,124,73,121,4,44,17,25,5,1,416.2,6.5,0.5,7,51.16
50,190,121,68,47,5,21,19,6,2,514.9,115.1,0.2,4,34.6
792,82,34,106,77,165,5,12,7,2,244.3,81.4,1.0,11,67.55
57,131,40,16,9,181,32,25,5,1,527.6,4.9,0.2,6,48.15
467,12,5,50,17,94,52,29,7,1,74.3,5.1,0.5,15,67.89
608,114,22,121,75,141,22,22,5,1,449.4,115.7,0.5,0,51.34
585,199,54,56,41,57,43,13,6,1,12.0,131.1,1.0,0,55.68
485,33,11,2,0,64,38,19,11,3,165.2,150.4,0.5,14,59.79
693,133,101,149,26,1,32,23,8,2,169.6,115.0,0.5,2,58.83
344,70,41,70,33,167,45,19,5,1,144.2,9.5,1.0,12,69.91
738,6,5,127,75,66,26,25,6,0,424.8,96.1,0.2,10,57.77
743,182,56,136,121,171,22,32,6,0,394.6,93.8,0.5,3,53.75
742,143,46,85,83,22,14,22,5,1,252.3,149.0,0.5,8,56.14
599,75,59,30,15,13,40,37,8,2,283.3,32.7,0.2,12,62.56
154,35,12,87,52,145,29,9,6,1,467.4,81.9,1.0,5,46.64
320,162,14,1,1,70,13,10,8,0,471.1,131.0,0.2,13,40.87
488,98,0,9,8,51,46,23,36,13,454.1,89.2,0.2,0,54.43
641,187,63,57,44,88,19,8,5,1,183.7,11.0,0.2,9,63.88
532,152,134,86,55,175,8,21,203,44,450.1,27.7,0.5,0,67.31
233,57,46,33,13,187,1,37,7,0,426.7,133.1,0.5,8,48.74
608,12,10,27,20,5,3,7,7,1,328.4,79.7,0.2,6,44.02
711,175,161,2,1,107,42,6,10,1,363.4,23.0,0.2,3,63.17
509,50,38,51,49,67,33,12,6,1,96.2,92.1,0.2,15,70.09
338,60,0,3,0,28,36,31,5,0,307.0,121.6,0.2,8,39.49
303,67,59,12,1,44,2,18,6,1,255.6,19.5,0.2,0,43.94
141,169,165,43,21,91,28,39,6,1,223.6,57.6,0.2,12,59.89
394,176,122,107,83,42,7,8,11,0,565.5,26.8,0.5,15,51.88
582,173,112,46,39,97,49,22,9,3,528.0,122.2,0.2,15,71.46
421,112,5,16,8,167,20,0,11,3,460.5,96.9,1.0,7,46.51
685,86,66,133,24,110,42,15,7,1,384.8,25.0,1.0,1,70.88
517,120,109,126,111,42,4,31,6,0,166.9,85.2,1.0,12,67.31
412,60,5,117,56,146,28,5,18,3,71.2,83.6,1.0,0,53.01
570,140,0,23,19,158,40,19,21,5,392.8,76.6,0.5,11,66.38
55,57,54,116,42,143,49,39,9,2,218.0,76.0,0.2,7,65.33
648,74,70,133,95,179,6,2,22,4,493.1,124.7,0.5,3,55.35
260,156,50,48,7,100,13,29,15,1,202.8,127.2,0.2,3,49.13
674,150,129,34,31,1,33,3,8,1,351.1,155.3,0.2,5,47.99
748,32,6,99,84,153,38,20,7,1,587.7,153.9,0.2,8,57.82
301,115,103,34,8,105,38,32,6,1,516.4,119.6,1.0,6,62.5
205,53,39,74,44,172,8,11,7,2,193.4,19.4,0.5,15,53.35
727,106,86,136,73,108,51,0,8,0,87.2,112.6,0.2,8,60.36
768,41,18,64,18,15,44,18,5,1,215.2,76.0,1.0,7,61.98
243,130,73,12,6,99,26,20,47,3,446.2,34.1,0.5,7,55.19
648,180,165,94,75,139,47,38,5,1,116.1,75.4,1.0,2,77.7
526,30,12,10,6,71,35,16,5,1,153.0,55.5,1.0,4,66.36
40,39,20,13,12,160,39,19,7,1,214.9,131.7,0.5,7,61.25
517,40,26,139,137,103,5,22,5,0,199.1,60.6,0.2,15,67.5
574,192,166,2,0,171,22,28,6,1,551.2,41.0,0.2,10,58.21
116,98,32,138,72,6,33,23,8,1,292.1,49.8,1.0,6,49.68
328,131,21,24,5,197,34,34,5,0,402.2,130.0,1.0,13,53.58
719,189,111,18,4,6,29,21,5,0,106.8,42.3,0.2,7,51.95
264,104,49,115,80,103,27,20,5,1,320.9,107.8,1.0,2,57.11
717,18,11,128,27,74,50,19,9,1,556.0,64.1,1.0,0,59.05
485,40,34,56,8,191,25,34,6,1,178.8,149.0,1.0,11,70.1
568,36,7,10,0,146,38,25,8,3,182.8,125.7,1.0,11,65.99
216,105,82,131,36,41,11,14,9,1,68.8,112.7,1.0,1,47.01
562,118,82,140,18,74,42,4,6,0,348.4,159.9,0.5,4,47.45
687,167,60,25,9,158,4,12,6,1,369.8,51.4,1.0,4,50.52
323,109,21,1,1,63,50,14,11,3,166.0,60.4,1.0,10,66.2
491,118,57,91,39,124,35,6,5,1,505.1,144.3,0.2,6,51.76
78,186,19,4,4,161,1,37,8,2,127.7,6.2,0.5,15,55.79
669,198,38,93,50,57,49,37,12,1,278.8,85.7,0.5,11,61.17
628,175,42,131,35,114,10,11,8,1,523.3,24.6,1.0,15,54.52
367,10,3,124,29,16,16,23,5,1,310.7,133.0,0.5,15,48.99
40,166,82,26,22,133,40,17,16,2,326.6,29.2,1.0,12,58.92
374,150,19,132,64,96,14,33,7,2,207.0,133.2,1.0,0,52.74
169,58,4,131,71,54,9,11,5,1,490.2,111.1,0.5,10,34.34
737,29,15,122,61,53,37,10,10,1,146.2,21.5,1.0,5,65.85
586,37,3,42,16,46,33,25,9,2,11.2,120.9,1.0,9,56.93
87,55,28,120,111,123,10,14,16,4,476.8,137.8,0.2,8,47.19
464,152,151,17,7,96,24,8,5,0,515.8,84.7,0.5,4,60.06
620,24,5,121,115,157,38,2,20,4,451.4,15.7,1.0,4,64.41
1,198,173,110,66,107,23,2,11,2,563.1,81.0,0.5,11,44.1
603,189,178,147,25,108,8,16,7,0,515.4,47.6,1.0,13,62.15
761,1,0,133,1,96,41,13,10,1,217.4,26.0,1.0,8,63.04
267,137,108,144,93,156,17,25,12,2,470.3,81.1,0.5,15,59.09
352,198,180,101,94,35,42,7,12,2,419.6,27.2,0.2,12,61.73
346,140,13,41,24,162,0,5,15,3,360.1,14.8,0.5,7,42.84
741,98,51,133,73,182,38,3,34,11,384.2,73.7,0.2,9,64.22
199,8,8,132,59,157,10,2,6,1,585.4,14.6,0.5,12,48.46
600,51,33,3,0,23,35,18,11,2,349.8,58.4,0.5,7,57.75
620,49,29,103,73,1,16,11,7,0,43.4,49.4,0.2,8,51.95
588,64,56,96,72,123,49,15,12,4,275.3,77.4,1.0,0,72.7
493,29,8,17,12,162,50,14,10,1,189.4,160.5,1.0,0,65.98
294,23,12,87,9,141,11,30,6,0,344.2,30.7,1.0,6,51.13
510,188,51,60,47,61,16,13,5,1,501.8,59.8,0.2,3,51.58
679,126,78,1,0,123,23,39,6,2,528.6,96.5,0.5,15,57.25
187,195,130,71,50,56,48,36,5,1,253.9,157.9,0.2,11,55.4
178,117,15,132,117,80,44,0,5,0,348.6,54.7,1.0,8,50.96
191,140,67,60,17,120,39,21,6,1,126.3,117.7,0.5,11,58.65
184,146,33,147,58,25,46,17,14,3,513.8,32.9,1.0,4,45.71
484,2,0,107,63,34,40,33,8,1,292.0,42.2,1.0,1,53.39
61,55,52,65,60,161,6,28,12,1,216.2,93.7,0.5,11,62.42
20,105,15,89,86,155,12,36,8,2,104.7,131.1,0.5,10,45.75
754,114,113,20,12,157,18,29,9,0,100.5,135.7,0.5,13,66.23
646,156,146,103,9,20,10,21,5,0,174.8,44.9,1.0,12,60.96
371,191,150,133,115,105,10,11,18,1,140.8,42.3,1.0,2,66.08
215,42,25,26,3,16,30,35,5,1,314.4,167.3,0.2,8,41.34
399,79,29,63,36,113,40,8,5,1,17.1,111.5,0.5,15,55.5
478,138,69,140,113,34,44,34,5,1,378.6,106.8,1.0,13,60.45
317,88,61,138,58,22,28,19,6,0,182.1,0.0,0.2,11,56.81
293,120,68,2,2,125,48,30,6,1,478.8,100.3,0.2,11,65.88
447,101,31,41,41,99,24,14,6,1,143.7,128.4,1.0,8,69.38
291,166,136,68,52,48,4,11,5,0,273.2,76.1,1.0,15,54.47
50,136,5,47,6,72,17,8,11,3,139.7,25.3,0.5,6,37.08
350,107,39,127,95,118,44,2,6,2,571.0,9.4,0.5,2,52.2
256,97,1,31,15,98,49,28,6,2,119.5,123.5,0.2,6,53.56
484,99,87,79,41,40,40,2,12,2,73.3,80.8,0.5,6,57.88
682,55,7,60,40,111,20,0,5,0,71.8,132.6,0.2,1,44.48
595,200,176,121,88,152,9,23,13,1,300.0,115.2,0.5,1,67.02
